Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Link,Abstract,Index Keywords
Wu P.-C.; Liu S.-Y.; Hsiao J.-M.; Huang T.-Y.,"Wu, Po-Chin (36574245700); Liu, Shiao-Yen (55488924400); Hsiao, Juei-Ming (57189070324); Huang, Tsai-Yuan (56387906100)",36574245700; 55488924400; 57189070324; 56387906100,Nonlinear and time-varying growth-tourism causality,2016,Annals of Tourism Research,59,,,45,59,14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965029147&doi=10.1016%2fj.annals.2016.04.005&partnerID=40&md5=b44bbce6661e0ce6b7f79b800cb477ef,"This paper develops a panel smooth transition vector error correction model to investigate the economic growth-tourism causality. This model simultaneously resolves the estimation problems of nonlinearity, heterogeneity and endogeneity. Empirical results support that the causality is bi-directional, nonlinear, time- and country-varying in both the long run and short run. The real interest rate causes threshold effects on the link between growth and tourism. High levels of real interest rates lead to a longer time for the growth and tourism to return back to their long run equilibrium values; however, they strengthen the positive contribution from one of the variables to the other variable in the short run. Macroeconomic environment and policy are key factors that influence the threshold effects. © 2016 Elsevier Ltd.",economic growth; error correction; interest rate; macroeconomics; threshold; tourism market
Ali Q.; Khan M.T.I.; Khan M.N.I.,"Ali, Qamar (57193531616); Khan, Muhammad Tariq Iqbal (57195103201); Khan, Muhammad Noraiz Iqbal (57207217831)",57193531616; 57195103201; 57207217831,"Dynamics between financial development, tourism, sanitation, renewable energy, trade and total reserves in 19 Asia cooperation dialogue members",2018,Journal of Cleaner Production,179,,,114,131,17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041483362&doi=10.1016%2fj.jclepro.2018.01.066&partnerID=40&md5=204cb1d66ffa3428df31ba28e125541d,"A satisfactory level of total reserves is required for the stabilization of development process. It is a challenge for developing countries to increase total reserves in order to make timely payments for the imports. This paper explored the dynamics between total reserves, financial development index, improved sanitation, renewable energy, trade openness, and tourism by using panel data from 1995 to 2015 in 19 Asia Cooperation Dialogue member countries, divided into three panels with respect to income. Prior to empirical analysis, the stationarity in each variable series was explored by using four unit root tests. The Kao cointegration test confirmed the long-run association between the selected variables. The results of vector error correction model confirmed the long run causality for total reserves, financial development, renewable energy, sanitation, and tourism in high income countries (HICs); total reserves, financial development, and trade in upper middle income countries (UMICs); and financial development, renewable energy, and sanitation in lower middle income countries (LMICs). The total reserves revealed the growth hypothesis with tourism (HICs), sanitation (HICs, UMICs), and financial development (LMICs); conservation hypothesis with trade (HICs), financial development (UMICs), and renewable energy (UMICs); and feedback hypothesis with renewable energy (HICs), and sanitation (LMICs). The fully modified ordinary least square was used to estimate the long run elasticity coefficients. The increase in total reserves due to 1% increase in sanitation was 4.704% and 2.941% in UMICs and LMICs, respectively. The increase in total reserves by 1% increase in tourism was 1.079%, 0.521%, and 0.413% in HICs, UMICs, and LMICs, respectively. The increase in total reserves was 1.462% and 0.814% due to 1% increase in financial development and trade openness, respectively in HICs. The country-wise analysis also supported the panel results. The increase in total reserves was found due to increase in improved sanitation (14 countries), tourism (9 countries, renewable energy (7 countries), trade (6 countries), and financial development (5 countries). The policymakers should primarily focus on improved sanitation, and tourism followed by financial development, trade, and renewable energy. © 2018 Elsevier Ltd",Commerce; Developing countries; Error correction; Hybrid integrated circuits; Sanitation; Elasticity coefficients; Energy; FMOLS; Middle-income countries; Ordinary least squares; Tourism; VECM; Vector error correction model; Finance
Bonham C.; Gangnes B.; Zhou T.,"Bonham, Carl (7006061004); Gangnes, Byron (6506064150); Zhou, Ting (36887782100)",7006061004; 6506064150; 36887782100,Modeling tourism: A fully identified VECM approach,2009,International Journal of Forecasting,25,3,,531,549,18,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649716635&doi=10.1016%2fj.ijforecast.2008.11.014&partnerID=40&md5=e21e059c4186e355733560f927fef3ad,"System-based cointegration methods have become popular tools for economic analysis and forecasting. However, the identification of structural relationships is often problematic. Using a theory-directed sequential reduction method suggested by Hall, Henry and Greenslade [Hall, S. G., Henry, S., & Greenslade, J. (2002). On the identification of cointegrated systems in small samples: A modelling strategy with an application to UK wages and prices. Journal of Economic Dynamics and Control, 26, 1517-1537], we estimate a vector error correction model of Hawaii tourism, where both demand and supply-side influences are important. We identify reasonable long-run equilibrium relationships, and Diebold-Mariano tests for forecast accuracy demonstrate satisfactory forecasting performance. © 2008 International Institute of Forecasters.",
Yamaka W.; Pastpipatkul P.; Sriboonchitta S.,"Yamaka, Woraphon (57015628300); Pastpipatkul, Pathairat (55586667200); Sriboonchitta, Songsak (25652391600)",57015628300; 55586667200; 25652391600,Business cycle of international tourism demand in Thailand: A Markov-switching Bayesian Vector Error Correction model,2015,Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science),9376,,,415,427,12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958549543&doi=10.1007%2f978-3-319-25135-6_38&partnerID=40&md5=b45819755efc8cdf744c6907cc6b5053,"This paper uses the Markov-switching Bayesian Vector Error Correction model (MS-BVECM) model to estimate the long-run and short-run relation for Thailand's tourism demand from five major countries, namely Japan, Korea, China, Russia, and Malaysia. The empirical findings of this study indicate that there exist a long-run and some short-run relationships between these five countries. Additionally, we analyses the business cycle in a set of five major tourism sources of Thailand and find two different regimes, namely high tourist arrival regime and low tourist arrival regime. Secondary monthly data results of forecasting were used to forecast the tourism demand from five major countries from November 2014 to August 2015 based on the period from January 1997 to October 2014. The results show that Chinese, Russian, and Malaysian tourists played an important role in Thailand's tourism industry during the period from May 2010 to October 2014. © Springer International Publishing Switzerland 2015.",Decision making; Error correction; Forecasting; Bayesian; Bayesian vectors; Empirical findings; International tourisms; Markov switching; MS-VECM; Tourism demand; Tourism industry; Uncertainty analysis
Şit M.; Şit A.; Karadağ H.,"Şit, Mustafa (57209549857); Şit, Ahmet (57225913985); Karadağ, Haydar (57226441617)",57209549857; 57225913985; 57226441617,The Impact of Tourism Demand on Tax Revenues and Bank Loans in Turkey,2020,Springer Proceedings in Business and Economics,,,,675,683,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126145773&doi=10.1007%2f978-3-030-38253-7_45&partnerID=40&md5=c1bd96c2d316f2ec0a8a49415aaa17a7,"The aim of this study is to investigate the impact of tourism demand on tax revenues and the bank loans granted to the tourism sector in Turkey. The data covers the period 2007Q1–2018Q3. The methods used included the tests of normality, heteroscedasticity, autocorrelation, CUSUM stability, unit root, Johansen cointegration, VECM error correction model and Quantile Regression. As a result, the hypothesis that the increase in tourism demand will increase the tax revenues and use of loans is supported. The findings may serve as a guide for tourism and fiscal policies. The tourism sector should be supported by public policies to obtain higher tax revenues. © 2020, Springer Nature Switzerland AG.",
Haqiq A.; Pharmasetiawan B.,"Haqiq, Asyeh (58401602200); Pharmasetiawan, Bambang (6506192093)",58401602200; 6506192093,Data Analytics for Forecasting Arrival of Tourism Visit in Indonesia,2019,"Proceeding - 2019 International Conference on ICT for Smart Society: Innovation and Transformation Toward Smart Region, ICISS 2019",,,8969795,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079270929&doi=10.1109%2fICISS48059.2019.8969795&partnerID=40&md5=58984f479daff634a701293197b3778b,"Previous research has proven that online search data can be used to estimate tourist visits. Massive query data is a challenge in determining the right keywords to used to build indexes. This study proposes a framework for building a composite search index. The proposed forecasting framework emphasizes keyword selection using keywords in previous research and is based on the tourism organization's website. Previous studies predict the number of tourist arrivals at a tourist place, city or city-state, whereas in this study predict foreign tourist visits at the country level, Indonesia. Using the econometric model, this study uses data on Foreign Tourist Visits (FTV), Google Trends Index (GTI), Customer Price Index (CPI) and Exchange Rate (ER). The forecasting method uses the Vector Error Correction Model (VECM) and then analyzes the model, provides forecasting and structural analysis of the model. The results of the model analysis are long-term and short-term analyzes and the results of forecasting evaluation show that the MAPE score is good. © 2019 IEEE.",Data Analytics; Error correction; Tourism; Customer price indices; Econometric model; Forecasting methods; Google trends; Keyword selection; Model analysis; VECM; Vector error correction model; Forecasting
Kasimati E.,"Kasimati, Evangelia (6507738847)",6507738847,Economic impact of tourism on greece's economy: Cointegration and causality anzlysis,2011,International Research Journal of Finance and Economics,79,,,79,85,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-83455211807&partnerID=40&md5=941987a850ca759e0e186ea96b60e6d2,"Tourism is one of the growing service sectors in Greece. In 2011 the direct and indirect contribution of the Greek tourism industry to total GDP and employment is expected to reach 15.8% and 18.4% respectively (WTTC, 2011). The objective of this paper is to analyse the role of tourism in the Greek economic growth. We use a trivariate model of real Gross Domestic Product (GDP), international tourist arrivals and real effective exchange rate to investigate the relationship between tourism and economic growth. By using annual data for Greece for the period of 1960-2010, our results reveal that there is a cointegrating relationship between tourism and economic growth. However, contrary to the literature our results using Granger Causality Test based on Vector Error Correction Model (VECM) indicate that there is no directional impact between tourism and GDP growth in Greece. © EuroJournals Publishing, Inc. 2011.",
Nguyen Q.; Nguyen C.V.,"Nguyen, Quyet (58277177200); Nguyen, Cong Van (57955937400)",58277177200; 57955937400,An analysis of the relationship between ICT infrastructure and international tourism demand in an emerging market,2022,Journal of Hospitality and Tourism Technology,13,5,,992,1008,16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141427722&doi=10.1108%2fJHTT-11-2021-0331&partnerID=40&md5=2e913e88c08e40743ca37f9233aebab8,"Purpose: This paper aims to examine the impact of the existing information and communication technology (ICT) infrastructure and the development of the destination’s ICT on the tourism demand of international tourists in an emerging economy, Vietnam. Design/methodology/approach: Using time-series data from 1995 to 2019, this study applies vector error correction model to analyse the impact of ICT infrastructure in the short- and long term. Findings: The results of analysis show that although ICT infrastructure does not affect the number of international tourists in the short term, it positively contributes to tourism development in the long term. In addition, the results also show that in the short term, consumer prices have a negative impact on tourist arrivals while having a positive effect in the long run. Research limitations/implications: This study only considers the impact of ICT infrastructure on the whole without going into each factor reflecting different aspects of the ICT infrastructure. Moreover, this research only stops at the pre-pandemic period, so it has not shown the role of ICT infrastructure in travel and tourism demand during severe pandemic periods. Practical implications: The research results are an essential basis to support the Vietnamese Government’s strategy to pursue an accelerated investment policy in ICT infrastructure, especially investment in the tourism and hotel industries. On the other hand, the research results also create more motivation and confidence for managers and operators of destinations in Vietnam to invest in ICT infrastructure and apply ICT in management. Originality/value: This study adds to the literature on tourism–ICT linkages in an emerging tourism market directly between ICT infrastructure and international arrivals with a dynamic time series–based approach that considers the dynamics in the tourist demand identification model. In addition, this study used consumer price index to assess the impact of price on tourist demand instead of using the exchange rate or using the relative prices between the origin and destination countries. © 2022, Emerald Publishing Limited.",
Geise A.; Geise A.; Plebanek R.,"Geise, Andrzej (57204421944); Geise, Agnieszka (57223402177); Plebanek, Radosław (57223396232)",57204421944; 57223402177; 57223396232,"Atmospheric pollution as a factor of household expenditures on health, sport, and tourism. Results from the vector error correction model",2021,Journal of Physical Education and Sport,21,,129,1037,1045,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105772916&doi=10.7752%2fjpes.2021.s2129&partnerID=40&md5=05b5588b7ac7dee1283e939ddec62499,"Introduction: o fully understand the benefits of environmental regulations it is important to quantitate the impact of atmospheric pollutions on economic growth, regional development and society. This work concentrate mainly onthe relations betweenair pollution andsociety in the context ofaveragehousehold income and expenditures.Material and methods:Thestudy examines the causal relationships between expenditures on health, sport, and tourism, household incomes and air pollution across selected polish voivodships in years 2004– 2019.A notable feature of this study is that it uses annual data disaggregated into quarterly data to obtain robust empirical results through avoiding a sample size problem.The study applies the vector error correction model (VECM) to analyze the long-term and short-term relationship between six variables, where PM2.5(particulate matters) andCO (carbon monoxide) represents atmospheric pollution andhousehold budget is represented by disposable income and expenditures on health, sport, and tourism.Results:Pollution cause direct and indirect pressure on economy, as well as on individual household budget. First, the empirical results shows that air pollution directly affects health, especially when the concentration of harmful dusts and aerosols in the air is high.Second, the air pollution influence the expenses on health indirectly, through the state of health, where the individuals are forced to make expenses to treat the disease caused by air pollution, or for the prevention of potential diseases caused by air pollution.Third, the air pollution also cause the pressure on sport expenses and tourism expenses of household. Conclusion:Atmospheric pollution can impact economic outcomes, as well the atmospheric pollution can be driven by economic activity on different levels of aggregation.Air quality is also an important factor for making decisions about leisure and recreation. Sport activity, as a way of spending free time, has positive effect on health. Physical activity alsoinfluencethe reduction of health expenditure in long term, butalso has a potential to increase the expenditures on sport and recreation. © JPES.",
Gričar S.; Bojnec Š.; Karadžić V.; Backović T.,"Gričar, Sergej (55173952800); Bojnec, Štefan (16743941400); Karadžić, Vesna (55263088700); Backović, Tamara (57221046610)",55173952800; 16743941400; 55263088700; 57221046610,Tourism price normalities in two Adriatic east coast 'euro' countries,2022,Economic Research-Ekonomska Istrazivanja ,35,1,,4865,4883,18,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122496654&doi=10.1080%2f1331677X.2021.2019078&partnerID=40&md5=5b6272654ff8b7d6ba26d01f65d14ee7,"This debut work offers a stunning look at real vs nominal prices that consider more than just inflation. The inadequate examination of hospitality price comparison is investigated between two non-neighbouring Adriatic east coast countries–Slovenia and Montenegro–using the euro. Hospitality prices are an essential indicator in hospitality markets, destination marketing and management planning. Using 73 monthly time-series data for the economic crisis period from December 2008 to December 2014, this period covers one shock in a series. One of the key managerial features of cointegrated spatial hospitality price spread was that Montenegro followed Slovenian hospitality prices. Hospitality prices in Montenegro and Slovenia tend to be weakly integrated into the long term and seasonally driven in the short term. In addition, the econometric experimentation has given a theoretical novelty for underpinned and undermined tourism economy modelling in normalities. This state-of-the-art econometric feature is included in a customary vector error correction model (VECM). Robust applied results recognise that hospitality prices in Montenegro are domestic driven and in Slovenia Eurozone driven. This finding is relevant for applied economics on obtaining a normally distributed price model. Its theoretical and managerial implications are vital for hospitality economics, marketing and tourism management. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",Montenegro; Slovenia; coastal zone; econometrics; hospitality industry; price dynamics; seasonal variation; tourism economics
